company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
CapWay,Atlanta,,10/17/24,100%,Finance,https://techcrunch.com/2024/10/16/y-combinator-backed-fintech-capway-has-shut-down/,Unknown,,United States,10/17/24
Chief,New York City,,10/20/24,,HR,https://africa.businessinsider.com/news/chief-the-networking-group-for-executive-women-has-laid-off-staff/rhnxmel,Series B,$140 ,United States,10/22/24
CareerBuilder + Monster,Chicago,200,10/10/24,15%,Recruiting,https://aimgroup.com/2024/10/10/200-laid-off-at-new-careerbuilder-monster-staff-cut-of-15-hits-all-departments-levels/,Acquired,,United States,10/11/24
Zapata Computing,Boston,,10/7/24,100%,Other,https://ir.zapata.ai/node/7701/html,Post-IPO,$82 ,United States,10/14/24
Grabango,SF Bay Area,,10/9/24,100%,Food,https://www.cnbc.com/2024/10/09/amazon-just-walk-out-rival-shutters-after-failing-to-secure-funding.html,Unknown,$94 ,United States,10/11/24
Tome,SF Bay Area,12,10/2/24,31%,Sales,https://www.theinformation.com/briefings/early-generative-ai-startup-leader-tome-lays-of-31-of-staff,Series B,$75 ,United States,10/2/24
PubMatic,SF Bay Area,12,10/7/24,1%,Marketing,https://www.businessinsider.com/adtech-company-pubmatic-layoffs-staff-reductions-2024-10,Post-IPO,$63 ,United States,10/7/24
Toptal,SF Bay Area,,10/10/24,,Recruiting,https://www.theinformation.com/briefings/toptal-lays-off-workers-as-remote-hiring-demand-ebbs,Unknown,,United States,10/10/24
Eaze,SF Bay Area,500,10/7/24,100%,Consumer,https://www.sfgate.com/cannabis/article/eaze-california-layoffs-19820734.php,Series D,$202 ,United States,10/7/24
GoWild,Louisville,,10/10/24,100%,Retail,https://www.bizjournals.com/louisville/inno/stories/news/2024/10/10/gowild-shuts-down-operations-luttrell-2024.html,Seed,$8 ,United States,10/11/24
BeepKart,BengaluruNon-U.S.,130,10/8/24,40%,Retail,https://inc42.com/buzz/exclusive-beepkart-fires-130-employees-in-5-months-to-cut-costs-halves-store-count/,Series A,$19 ,India,10/8/24
Zapp,LondonNon-U.S.,,10/8/24,90%,Food,https://www.uktech.news/foodtech/grocery-startup-zapp-losses-with-heavy-cuts-20241008,Series B,$300 ,United Kingdom,10/8/24
Moov,Cedar Falls,50,9/25/24,,Finance,https://www.linkedin.com/posts/jasonmikula_andreessen-horowitz-backed-payment-infrastructure-activity-7244381710526689280-_P05/,Series B,$77 ,United States,9/26/24
Flexport,SF Bay Area,,10/2/24,2%,Logistics,https://www.freightwaves.com/news/flexport-to-reduce-workforce-amid-company-reorganization,Series E,"$2,400 ",United States,10/4/24
Drata,San Diego,40,9/26/24,9%,Security,https://techcrunch.com/2024/09/26/security-compliance-unicorn-drata-lays-off-9-of-its-workforce/,Series C,$328 ,United States,9/26/24
Alma,New York City,,10/2/24,9%,Healthcare,https://bhbusiness.com/2024/10/02/citing-need-to-re-focus-resources-digital-therapy-platform-alma-lays-off-9-of-staff/,Series D,$220 ,United States,10/3/24
ABBYY,Nicosia,200,10/1/24,,Data,https://www.bignewsnetwork.com/news/274659725/us-tech-giant-fires-russian-expats,Unknown,$6 ,Cyprus,10/3/24
FreshBooks,TorontoNon-U.S.,140,10/1/24,,Finance,https://www.freshbooks.com/blog/a-letter-from-mara,Unknown,$331 ,Canada,10/2/24
DoubleCloud,DubaiNon-U.S.,,9/30/24,100%,Infrastructure,https://double.cloud/blog/posts/2024/10/doublecloud-final-update/,Unknown,,UAE,10/2/24
Greenikk,TrivandrumNon-U.S.,,9/30/24,100%,Food,https://inc42.com/buzz/100unicorns-backed-agritech-startup-greenikk-shuts-operations/,Seed,$1 ,India,10/1/24
Vendease,LagosNon-U.S.,68,9/30/24,20%,Food,https://techcabal.com/2025/02/19/vendease-second-layoffs/,Series A,$43 ,Nigeria,2/21/25
Shein,SingaporeNon-U.S.,17,9/30/24,,Retail,https://marketech-apac.com/shein-lays-off-17-employees-in-sg-despite-local-growth-plans/,Private Equity,"$4,100 ",Singapore,10/1/24
Notable Labs,SF Bay Area,,9/20/24,65%,Healthcare,https://www.bizjournals.com/sanfrancisco/news/2024/09/20/notable-labs-ntbl-layoffs.html,Series B,,United States,9/20/24
FreightWaves,Chattanooga,16,9/24/24,,Logistics,https://www.timesfreepress.com/news/2024/sep/24/chattanoogas-freightwaves-eliminates-16-jobs/,Private Equity,$92 ,United States,9/26/24
CarTrawler,DublinNon-U.S.,40,9/19/24,10%,Transportation,https://www.businesspost.ie/tech-news/cartrawler-to-cut-10-of-workforce-amid-strategic-shift-but-new-roles-will-follow/,Acquired,,Ireland,9/20/24
Healthy.io,Tel AvivNon-U.S.,40,9/22/24,30%,Healthcare,https://www.calcalistech.com/ctechnews/article/rkbihy060,Series D,$185 ,United States,9/23/24
Luminar,Orlando,,9/20/24,15%,Transportation,https://www.luminartech.com/updates/a-message-from-founder-ceo-austin-russell,Post-IPO,$780 ,United States,9/23/24
Olo,New York City,,9/23/24,9%,Food,https://www.fsrmagazine.com/feature/olo-announces-layoffs-for-9-percent-of-staff/,Post-IPO,$184 ,United States,9/23/24
Reverb,Chicago,40,9/20/24,,Retail,https://www.valueaddedresource.net/etsy-reverb-layoffs-september-2024/,Acquired,$47 ,United States,9/26/24
Northvolt,StockholmNon-U.S.,1600,9/23/24,20%,Energy,https://www.cnbc.com/2024/09/23/battery-giant-northvolt-to-cut-25percent-of-swedish-workforce-in-cost-cutting-drive.html,Unknown,"$13,800 ",Sweden,9/26/24
F5,Seattle,,9/24/24,,Security,https://www.geekwire.com/2024/f5-layoffs-impact-in-house-content-creation-employees/,Post-IPO,,United States,9/26/24
IBM,New York City,,9/18/24,,Hardware,https://www.theregister.com/2024/09/18/ibm_job_cuts/,Post-IPO,,United States,9/20/24
Spendesk,ParisNon-U.S.,151,9/18/24,,Finance,https://www.lesechos.fr/start-up/ecosysteme/french-tech-la-licorne-spendesk-taille-dans-ses-effectifs-2119722,Series C,,France,10/1/24
ApplyBoard,WaterlooNon-U.S.,,9/19/24,4%,Education,https://kitchener.citynews.ca/2024/09/19/layoffs-at-applyboard-due-to-restructuring/,Series D,$483 ,Canada,9/20/24
Udemy,SF Bay Area,280,9/11/24,,Education,https://investors.udemy.com/static-files/98f10e29-29a6-4b13-bfcc-79ee29c14a02,Post-IPO,$311 ,United States,9/17/24
Microsoft,Seattle,650,9/12/24,,Other,https://www.ign.com/articles/microsoft-lays-off-another-650-staff-from-its-video-game-workforce-xbox-boss-phil-spencer-sends-memo-to-staff,Post-IPO,$1 ,United States,9/12/24
Runtastic,LinzNon-U.S.,170,9/16/24,,Fitness,https://www.derstandard.at/story/3000000236735/adidas-sperrt-runtastic-in-pasching-und-wien-zu?ref=rss,Acquired,,Austria,9/17/24
Aakash,New DelhiNon-U.S.,80,9/18/24,,Education,https://entrackr.com/2024/09/exclusive-aakash-lays-off-employees-amid-strategic-shift/,Acquired,,India,9/20/24
Amperity,Seattle,,9/12/24,13%,Marketing,https://www.geekwire.com/2024/amperity-lays-off-13-of-staff-in-latest-cuts-for-customer-data-startup/,Series D,$187 ,United States,9/13/24
Mobileye,JerusalemNon-U.S.,100,9/9/24,,Transportation,https://www.calcalistech.com/ctechnews/article/bj11rpdhh0,Post-IPO,"$2,100 ",Israel,9/23/24
