company,location_hq,num_laid_off,layoff_date,percent_laid_off,industry,source,stage,raised_million,country,date_added
Textio,Seattle,15,1/15/25,,Recruiting,https://www.geekwire.com/2025/augmented-writing-startup-textio-lays-off-more-employees-will-invest-in-different-mix-of-roles/,Unknown,$42 ,United States,1/17/25
TechCrunch,SF Bay Area,,1/14/25,,Media,https://www.businessinsider.com/techcrunch-cuts-staff-amid-evolving-needs-2025-1,Acquired,,United States,1/17/25
Boozt,MalmoNon-U.S.,,1/13/25,10%,Retail,https://www.breakit.se/artikel/42184/boozt-sager-upp-var-tionde-pekar-pa-ai,Post-IPO,$56 ,Sweden,2/2/25
Alza,New York City,,1/13/25,100%,Finance,https://fortune.com/2025/01/13/alza-fintech-latino-thrive-capital-stripe-level-employer-com-shut-down-venture/,Seed,$7 ,United States,1/14/25
Pandion,Seattle,63,1/10/25,100%,Logistics,https://www.geekwire.com/2025/heavily-funded-pandion-delivery-startup-closes-abruptly-in-latest-logistics-industry-fallout/,Series B,$76 ,United States,1/11/25
Microsoft,Seattle,,1/14/25,,Other,https://www.businessinsider.com/microsoft-layoffs-hit-security-devices-sales-gaming-2025-1,Post-IPO,$1 ,United States,1/14/25
ShareChat,BengaluruNon-U.S.,27,1/15/25,5%,Marketing,https://entrackr.com/news/sharechat-cuts-5-jobs-as-part-of-performance-review-cycle-8623795,Series D,$222 ,India,1/16/25
HeyJobs,BerlinNon-U.S.,90,1/15/25,,Recruiting,https://aimgroup.com/2025/01/15/heyjobs-axes-90-workers-shuts-two-locations-anonymous-sources/,Series B,$62 ,Germany,2/2/25
Advisor Credit Exchange,Philadelphia,,1/14/25,100%,Finance,https://citywire.com/ria/news/envestnet-backed-advisor-credit-exchange-to-shut-down-sources/a2457772,Unknown,$31 ,United States,1/14/25
Wayfair,BerlinNon-U.S.,730,1/10/25,3%,Retail,https://www.cnbc.com/2025/01/10/wayfair-to-exit-germany-cut-730-jobs-in-latest-layoffs.html,Post-IPO,"$1,700 ",Germany,1/11/25
Altruist,SF Bay Area,37,1/7/25,10%,Finance,https://riabiz.com/a/2025/1/7/altruist-lays-off-10-of-its-staff-despite-300-revenue-jump-to-get-best-possible-people-as-aggressive-hiring-continues-says-ceo,Series E,$449 ,United States,1/7/25
Cloud Software Group,SF Bay Area,,1/7/25,,Other,https://www.crn.com/news/cloud/2025/citrix-parent-cloud-software-group-confirms-layoffs?itc=refresh,Unknown,,United States,1/11/25
Zillow,Seattle,,1/10/25,,Real Estate,https://www.geekwire.com/2025/zillow-makes-job-cuts-after-reorganizing-agent-software-and-advertising-teams/,Post-IPO,$97 ,United States,1/14/25
Icon,Austin,114,1/9/25,,Construction,https://www.statesman.com/story/business/2025/01/09/icon-layoffs-austin-texas-3d-printing-company-100-employees/77573345007/,Series B,$451 ,United States,1/11/25
Redfin,Seattle,46,1/9/25,,Real Estate,https://www.geekwire.com/2025/redfin-lays-off-46-employees-in-latest-cuts-at-seattle-real-estate-company/,Post-IPO,$320 ,United States,1/14/25
Level,New York City,,1/2/25,100%,Finance,https://www.pymnts.com/acquisitions/2025/report-benefits-startup-level-shuts-down-after-acquisition-falls-through,Series B,$27 ,United States,1/3/25
Aqua Security,Boston,,1/7/25,,Security,https://www.calcalistech.com/ctechnews/article/rjd6qpclyx,Series E,$325 ,United States,1/7/25
Microsoft,Seattle,,1/7/25,,Other,https://www.businessinsider.com/microsoft-plans-job-cuts-performance-management-2025-1,Post-IPO,$1 ,United States,1/11/25
SolarEdge,Tel AvivNon-U.S.,400,1/6/25,,Energy,https://www.reuters.com/business/energy/solaredge-technologies-lay-off-400-employees-globally-2025-01-06/,Post-IPO,$155 ,Israel,1/7/25
Thrive,MumbaiNon-U.S.,,12/14/24,100%,Food,https://yourstory.com/2024/12/food-delivery-startup-thrive-to-shut-down-operations,Series A,,India,12/18/24
Lilium,MunichNon-U.S.,1000,12/23/24,100%,Aerospace,https://techcrunch.com/2024/12/23/electric-aircraft-startup-lilium-ceases-operations-1000-workers-laid-off/,Post-IPO,"$1,400 ",Germany,12/27/24
Bench,VancouverNon-U.S.,450,12/27/24,100%,Finance,https://techcrunch.com/2024/12/27/bench-shuts-down-leaving-thousands-of-businesses-without-access-to-accounting-and-tax-docs/,Series C,$109 ,Canada,12/27/24
